■ 医療AI事業 構想・戦略（受け入れ人材不足×リベ大実働チーム×パイオニア発信）	2026-06-18 / 04李牧 / 福井・宮崎 共有用

■ A. 市場洞察：AI導入が進まない真因
仮説	受け入れ側のクリニックに『回す人』がいない（事務は多忙・ITに不慣れ・離職リスク）。導入の8割は「使いこなし・定着」でコケる。
裏付け	HORIE×Henry動画の東院長の原点＝『明日辞めます事件』（医療事務の同時退職で運営麻痺）。業界の解は「製品入替（クラウド化）」止まりで、「実働・運用定着」は空きピース。
KHDの勝機	導入後の『実働・運用定着』を巻き取る伴走者になる。ここは製品ベンダーがやらない＝KHDの差別化ポジション。

■ B. 構想案：リベ大サロン 実働チーム（宮崎案）
体制	KHD（菊池＝営業統括／宮崎＝システム設計・品質管理）＋ 外部実働チーム（リベ大サロンのAI/PC得意な副業人材）
役割分担	KHD＝設計・統括・営業に専念／外部チーム＝オペレーション実働
外部に任せる実働(例)	設定補助・定型文/テンプレ作成・スタッフ向けマニュアル・操作レク・補助金書類の下作り・発信コンテンツ制作
メリット	低コストで人海戦術・スケールする／リベ大のGIVE文化と相性◎／宮崎が回せる／菊池は営業と設計に集中
★最大の壁(李牧・必須)	医療現場の実働は患者情報に触れる→外部サロンメンバーに触らせるのは個人情報・3省2ガイドライン・守秘で危険。【切り分け必須】外部チームは『患者情報に触れない後方支援』に限定。患者情報に触れる実働は院内スタッフ or 守秘契約済の限定メンバーのみ。
段取り	①患者情報に触れない実働の範囲を定義 ②サロン規約で実働メンバー募集の可否を確認 ③報酬設計 ④品質チェックの型 ⑤京橋で小さく試す

■ C. YouTube動画(Ld_40z5NLp0)の評価
正体	HORIE ONE × ヘンリー(クラウドカルテHenry)のネイティブ広告。出演=堀江貴文×東大里(正幸会病院 院長)。2024/9公開。
同じ話か	部分的に同じ。『導入が進まない心理障壁』は共通。ただし扱いは「AI実働」でなく「クラウド製品への入替」。
転用できる(型)	①反論処理テンプレ(『クラウド/AIは危険』→ランサム実例で逆転) ②痛みの原点ストーリー(人材流出から入る) ③実践者を広告塔に(将来 山崎先生を成功事例の語り部に)
転用しない	製品起点の語り(=ベンダーに埋没)。KHDは『製品を入れても回らないクリニックの伴走』がポジション。
判定	競合でも提携でもない＝教材。接触・問い合わせ不要。優先度【低】。20分見て型(反論処理・痛みストーリー)だけ抜けば十分。
他社との優先度	メドレー/中央ビジコム(実案件の見積)が圧倒的に優先。この動画は学習のみ。

■ D. 菊池のパイオニア戦略（構造化→プロ化→発信）
構造化	生ニーズ(京橋等)を『クリニックAI課題マップ』に型化(課題×ツール×補助金×導入法)。今の提案マトリクスがその核。
プロ化	①事例を作る(京橋=1号事例) ②メソッド化(診断→選定→導入→定着→効果測定の標準手順) ③チーム化(リベ大実働=構想B) ④将来 支援事業者化(全部自社型へ)
発信	医療×AI発信(本命メディア)。実ニーズ・事例・現場知を発信→パイオニアのポジション取り→集客装置に。X/note/YouTube。一歩先のプロ(Drでじ等)をTTP。
パイオニアの核	他社はツールを売る。KHDは『クリニックがAIを使いこなせるようにする』＝中立×現場×経営の三点で伴走する唯一のポジション。
★発信の注意	患者情報・院の内情は出さない(守秘)。一般化した知見・型だけを発信する。

■ 次の一手
1	構想B(リベ大実働)＝まず『患者情報に触れない実働』の範囲定義から。これが固まれば法的に安全に回せる。
2	京橋を1号事例として丁寧に(プロ化の起点)。発信は事例化の後でも遅くない。
3	動画は20分視聴→反論処理テンプレを提案資料に転記(学習として)。