■ 実働チーム 立ち上げ準備：SOP / サロン規約 / 報酬 / 誓約書	2026-06-18 / 04李牧 / 構想B 実行パック

■① SOP（手順書）＝菊池が初回やって型化→外部にパス

【SOP #1】提案資料・比較表の作成/更新
目的	先生提示/社内検討用の比較表・資料を作る
インプット	比較対象(製品/課題)・論点・KHD配色・出典の要否
手順	①菊池が論点を指定 ②各項目をWebで裏取り(出典URL必須) ③表に整理(項目×選択肢) ④KHD配色テンプレで体裁 ⑤未確認は『要確認』と明記 ⑥菊池が最終チェック
成果物	比較表(スプシタブ or スライド)
品質チェック	出典URLあり／要確認を明記／患者情報なし／KHD配色
パス可否	◎ 裏取りと体裁は外部、論点指定と最終判断は菊池

【SOP #6】ツール・ベンダー比較リサーチ
目的	製品/制度の事実を正確に集める
手順	①菊池が調査項目を指定 ②公式一次情報を優先(メーカー公式/官公庁) ③各事実に出典URL ④不確実は『要確認』 ⑤代理店の宣伝記事は鵜呑みにしない ⑥結論ファーストで要約
成果物	リサーチメモ(出典URL付・結論ファースト)
品質チェック	一次情報優先／出典URL／要確認明記／誇張なし
パス可否	◎ 調査は外部、解釈・判断は菊池

【SOP #14】問い合わせ文・メール下書きの作成
目的	ベンダー/関係者への問い合わせ文を作る
手順	①目的・相手・聞きたい点を菊池が指定 ②要点を箇条書き(長文NG) ③売り込まない/相手目線(中核信条) ④患者情報・院の内情は書かない ⑤菊池が最終チェック→送信判断
成果物	メール下書き(Gmail下書き or テキスト)
品質チェック	簡潔／中核信条(売り込まない)／患者情報なし／送信判断は菊池
パス可否	◎ 下書きは外部、送信判断は菊池

■② サロン規約の確認ポイント（外部募集の前に必ず）
確認1	リベ大コミュニティの規約で『メンバー間の業務委託・外注・勧誘』が許されるか
★注意	多くのサロンは『サロン内での営業・勧誘・引き抜き』を制限することがある→違反は規約違反・信頼失墜
安全策(推奨)	サロンは『出会いの場』に留め、業務委託契約はサロン外で個別に結ぶ。これなら規約に抵触しにくい
確認先	サロン規約の本文／運営への問い合わせ

■③ 報酬設計（案）
形態	業務委託（成果単価 型 を基本・慣れたら一部 時給）
成果単価(例)	資料/比較表 1本 ◯円・リサーチ 1件 ◯円・メール下書き 1本 ◯円(タスク表で単価を決める)
時給(例)	作業時間ベース ◯円/h(キッティング等 時間がかかる作業)
初期方針	1〜2名から小さく。成果物の質を見て拡大。最初は菊池が品質チェック
支払	月締め・成果物ベース
★必須	『患者情報に触れない範囲限定』を契約に明記

■④ 誓約書テンプレ（秘密保持＋患者情報 非接触）※署名用はDoc化
第1条(範囲)	受託者は、KHDから委託された『患者情報に触れない後方支援業務』のみを行う
第2条(非接触)	受託者は、患者の個人情報・要配慮個人情報・診療内容に一切アクセスしない/取り扱わない
第3条(秘密保持)	業務上知り得た一切の情報を第三者に開示・漏洩せず、目的外に利用しない(契約終了後も継続)
第4条(法令遵守)	個人情報保護法・医療情報の3省2ガイドラインの趣旨を遵守する
第5条(成果物の権利)	成果物の権利・著作権はKHDに帰属する
第6条(違反時)	違反した場合、契約解除および損害賠償の責任を負う
署名欄	受託者 氏名／日付　・　KHD(委託者) 氏名／日付

■ 次のアクション
1	上記SOP3本を実運用→次に同じ作業が来たら外部にパス(初回→SOP→パスの実証)
2	サロン規約を確認 or サロン外契約の方針で固める
3	報酬の◯円を埋める＋誓約書をGoogle Docで署名用に清書(指示があれば作成)